[14:02:15][INFO][2160][main:449] Script execution started: 2023-12-01 14:02:15
[14:02:25][INFO][2160][connect_to_device:337] ===> Connecting to DCR-SPA3-Access (10.201.16.76)
[14:02:25][INFO][2160][_log:1893] Connected (version 1.99, client Cisco-1.25)
[14:02:26][INFO][2160][_log:1893] Auth banner: b'CCCCC\r\nUNAUTHORIZED ACCESS TO THIS NETWORK DEVICE IS PROHIBITED. \r\nYou must have explicit permission to access or configure this device. \r\nAll activities performed on this device may be logged, and violations\r\nof this policy may result in disciplinary action, and may be reported to \r\nlaw enforcement. There is no right to privacy on this device.\r\n'
[14:02:26][INFO][2160][_log:1893] Authentication (password) successful!
[14:02:26][INFO][2160][connect_to_device:340] <=== Received DCR-SPA3-Access (10.201.16.76)
[14:02:26][INFO][2160][process_device_data:379] Processing data on the network device ...
[14:02:26][INFO][2160][send_command:421] Executing command: "show vlan brief"
[14:02:27][INFO][2160][extract_voip_vlans:150]   VoIP VLANs found: [387, 388]
[14:02:27][INFO][2160][extract_ap_vlans:164]   AP VLANs found: [210]
[14:02:27][INFO][2160][send_command:421] Executing command: "show mac address-table vlan 387"
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 00eb.d5cd.7c74 on GigabitEthernet1/34
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 1cd1.e08a.8c5c on GigabitEthernet1/2
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7ac8 on GigabitEthernet1/6
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7ca0 on GigabitEthernet1/48
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7d3d on GigabitEthernet1/4
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7df2 on GigabitEthernet1/46
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7e90 on GigabitEthernet1/14
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7ef2 on GigabitEthernet1/19
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7efa on GigabitEthernet1/16
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7f45 on GigabitEthernet1/7
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7f52 on GigabitEthernet1/18
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7f88 on GigabitEthernet1/21
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7f9a on GigabitEthernet1/10
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7fcd on GigabitEthernet1/38
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7fee on GigabitEthernet1/24
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7fff on GigabitEthernet1/28
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.8000 on GigabitEthernet1/26
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.800b on GigabitEthernet1/40
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.800e on GigabitEthernet1/41
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.801c on GigabitEthernet1/44
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.81af on GigabitEthernet1/30
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.82f0 on GigabitEthernet1/32
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.830f on GigabitEthernet1/36
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.8311 on GigabitEthernet2/6
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.831a on GigabitEthernet2/4
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.833d on GigabitEthernet2/8
[14:02:27][INFO][2160][send_command:421] Executing command: "show mac address-table vlan 388"
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 445c.e953.4b06 on GigabitEthernet6/16
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7c84 on GigabitEthernet5/12
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7dd4 on GigabitEthernet2/40
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7e62 on GigabitEthernet2/42
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7e8f on GigabitEthernet5/39
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7f46 on GigabitEthernet2/43
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7f60 on GigabitEthernet5/38
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7f6f on GigabitEthernet2/47
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7f76 on GigabitEthernet2/13
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7f89 on GigabitEthernet2/16
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7fd3 on GigabitEthernet2/22
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.7fd5 on GigabitEthernet2/18
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.802a on GigabitEthernet2/24
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.803a on GigabitEthernet2/20
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.80f4 on GigabitEthernet2/25
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.82d2 on GigabitEthernet2/29
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.8312 on GigabitEthernet2/30
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.8318 on GigabitEthernet5/2
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.8324 on GigabitEthernet2/33
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.8327 on GigabitEthernet2/28
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.8341 on GigabitEthernet2/12
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.8344 on GigabitEthernet5/4
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.834c on GigabitEthernet2/36
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.8353 on GigabitEthernet5/6
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.835d on GigabitEthernet2/37
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.836c on GigabitEthernet5/8
[14:02:27][INFO][2160][log_discovered_mac:213]   Discovered 70f0.9652.83eb on GigabitEthernet2/9
[14:02:27][INFO][2160][send_command:421] Executing command: "show mac address-table vlan 210"
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 004e.35c6.e570 on GigabitEthernet5/42
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 004e.35c6.e5ae on GigabitEthernet5/41
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 004e.35c6.eb50 on GigabitEthernet5/45
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 004e.35c6.ed22 on GigabitEthernet5/46
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.04a0 on GigabitEthernet2/6
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.04a5 on GigabitEthernet5/39
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.0789 on GigabitEthernet1/44
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.07c0 on GigabitEthernet1/10
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.087e on GigabitEthernet1/18
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.08ce on GigabitEthernet1/40
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.09d7 on GigabitEthernet1/28
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.0a90 on GigabitEthernet2/36
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.0b3f on GigabitEthernet1/21
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.0c89 on GigabitEthernet1/2
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.0d4c on GigabitEthernet1/16
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.0d56 on GigabitEthernet1/38
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.0e05 on GigabitEthernet2/4
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.0e46 on GigabitEthernet2/16
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.0f09 on GigabitEthernet1/20
[14:02:28][INFO][2160][log_discovered_mac:213]   Discovered 204c.03bb.10b2 on GigabitEthernet2/24
